OBJECTID,TRACT,BLKGRP,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,SHAPE_Length,SHAPE_Area
1,000100,4,110010001004,1000,985,893,34,2,45,0,11,6,4,6,0,59,845,31,1,45,0,7,5,3,6,0,891,798,31,2,41,0,6,4,4,4,0,55,752,29,1,41,0,3,3,3,4,0,634,533,101,6569.7469911627,1162391.60734281
2,000201,1,110010002011,3916,3736,2940,259,7,482,5,43,47,20,117,6,275,2740,249,4,480,5,7,40,16,115,6,3902,2931,259,7,478,5,43,47,20,116,6,272,2734,249,4,476,5,7,40,16,114,6,2,2,0,3249.76543814314,539551.85681847
3,000202,1,110010002021,1196,1177,1081,25,2,56,1,12,3,2,12,3,66,1030,24,0,54,1,5,3,1,10,3,1040,938,24,1,53,1,10,2,1,8,3,57,893,23,0,51,1,4,2,1,6,3,604,547,57,2684.90063586249,192012.122726043
4,000202,2,110010002022,813,792,749,3,1,35,0,4,6,2,11,0,35,724,3,1,35,0,0,4,2,8,0,712,658,3,1,33,0,3,3,2,7,0,29,635,3,1,33,0,0,2,2,6,0,395,366,29,1505.97272283307,135540.743641781
5,000202,3,110010002023,1053,1032,954,15,1,57,0,5,5,4,10,1,74,888,14,1,56,0,1,5,4,9,1,998,903,14,1,56,0,4,5,4,9,1,70,841,13,1,55,0,0,5,4,8,1,505,455,50,1615.53972504436,154466.042145833
6,000600,1,110010006001,1127,1098,983,34,3,56,1,21,7,6,11,4,95,921,31,2,56,1,1,3,6,11,2,995,873,29,3,47,1,21,3,6,7,4,80,824,26,2,47,1,1,1,6,7,2,694,657,37,2116.49522613095,214878.380995718
7,000600,2,110010006002,1107,1068,969,33,3,49,0,14,19,7,12,4,89,906,29,1,47,0,2,18,7,12,1,924,818,30,3,41,0,14,5,4,6,3,78,764,26,1,40,0,2,5,4,6,0,540,510,30,2864.46824360427,458475.032593092
8,000600,3,110010006003,592,571,493,28,1,30,0,19,7,5,11,1,44,463,28,1,30,0,7,6,5,11,1,484,410,22,1,26,0,11,4,4,7,1,36,387,22,1,26,0,0,3,4,7,1,300,275,25,1737.5256902842,174419.458715705
9,000600,4,110010006004,1713,1658,1433,130,3,72,1,19,18,5,31,0,104,1357,129,2,71,1,3,14,6,27,0,1409,1172,126,2,63,1,13,11,5,17,0,78,1112,125,2,63,1,1,9,4,16,0,700,666,34,3972.61375041506,594984.3344532
10,000701,1,110010007011,1577,1514,1207,110,14,125,0,58,19,5,32,12,215,1081,95,5,124,0,10,17,4,29,8,1427,1120,98,11,112,0,42,12,4,26,6,177,1005,88,4,111,0,5,10,3,24,6,1034,960,74,1967.31897133662,174629.94508351
