blkgrp,households,area_median_income,blkgrp_median_income_owners,blkgrp_median_income_renters,avg_hh_size_owners,avg_hh_size_renters,commuters_per_hh_owners,commuters_per_hh_renters,pct_renters,gross_hh_density,median_rooms_per_owner_unit,median_rooms_per_renter_unit,pct_detatched_single_family_unit,median_commute_distance,block_denstiy,employment_access_index,local_job_density,local_retail_job_density,retail_access_index,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type1_ht_own,hh_type1_h_own,hh_type1_t_own,hh_type1_autos_own,hh_type1_vmt_own,hh_type1_transit_trips_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t_rent,hh_type1_autos_rent,hh_type1_vmt_rent,hh_type1_transit_trips_rent,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type2_ht_own,hh_type2_h_own,hh_type2_t_own,hh_type2_autos_own,hh_type2_vmt_own,hh_type2_transit_trips_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t_rent,hh_type2_autos_rent,hh_type2_vmt_rent,hh_type2_transit_trips_rent,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type3_ht_own,hh_type3_h_own,hh_type3_t_own,hh_type3_autos_own,hh_type3_vmt_own,hh_type3_transit_trips_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t_rent,hh_type3_autos_rent,hh_type3_vmt_rent,hh_type3_transit_trips_rent,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type4_ht_own,hh_type4_h_own,hh_type4_t_own,hh_type4_autos_own,hh_type4_vmt_own,hh_type4_transit_trips_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t_rent,hh_type4_autos_rent,hh_type4_vmt_rent,hh_type4_transit_trips_rent,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type5_ht_own,hh_type5_h_own,hh_type5_t_own,hh_type5_autos_own,hh_type5_vmt_own,hh_type5_transit_trips_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t_rent,hh_type5_autos_rent,hh_type5_vmt_rent,hh_type5_transit_trips_rent,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type6_ht_own,hh_type6_h_own,hh_type6_t_own,hh_type6_autos_own,hh_type6_vmt_own,hh_type6_transit_trips_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t_rent,hh_type6_autos_rent,hh_type6_vmt_rent,hh_type6_transit_trips_rent,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type7_ht_own,hh_type7_h_own,hh_type7_t_own,hh_type7_autos_own,hh_type7_vmt_own,hh_type7_transit_trips_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t_rent,hh_type7_autos_rent,hh_type7_vmt_rent,hh_type7_transit_trips_rent,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips,hh_type8_ht_own,hh_type8_h_own,hh_type8_t_own,hh_type8_autos_own,hh_type8_vmt_own,hh_type8_transit_trips_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t_rent,hh_type8_autos_rent,hh_type8_vmt_rent,hh_type8_transit_trips_rent
'110010001001',656,89826.00000,148625.24027,70482.64753,2.20000,1.82000,0.84085,1.12601,0.62652,3.26338,5.30000,3.60000,15.33505,2.21964,0.05970,266919.64283,11.29019,1.56533,10269.37919,89826.00000,4.00000,2.00000,43.62387,31.28050,12.34338,1.85072,18905.40000,322.99584,46.50479,33.33111,13.17368,2.07000,18905.40000,249.12465,41.90654,30.05811,11.84842,1.72000,18905.40000,367.03097,11720.00000,1.00000,1.00000,179.41695,139.08760,40.32935,0.71723,10353.96000,309.57077,221.12192,179.18089,41.94103,0.83000,10353.96000,184.46634,154.55633,115.18771,39.36862,0.65000,10353.96000,384.14641,44913.00000,1.00000,1.00000,50.41428,36.98109,13.43319,0.98723,10802.16000,288.85773,60.75839,46.75706,14.00133,1.10000,10802.16000,176.85948,44.24809,31.15356,13.09453,0.92000,10802.16000,355.62068,121265.00000,1.00000,1.00000,29.51092,23.06727,6.44364,1.19349,11514.96000,273.62082,31.11939,24.41265,6.70674,1.30000,11514.96000,171.15434,28.55209,22.26529,6.28681,1.13000,11514.96000,334.70182,71861.00000,2.00000,0.00000,46.10950,39.76783,6.34167,1.04072,0.00000,347.53550,50.78419,43.45055,7.33364,1.26000,0.00000,251.02636,43.32289,37.57254,5.75035,0.91000,0.00000,405.06527,44913.00000,3.00000,1.00000,59.90010,42.93671,16.96339,1.34445,11772.00000,347.28329,70.92732,52.39463,18.53269,1.57000,11772.00000,256.73151,53.32669,37.29878,16.02791,1.21000,11772.00000,401.26184,71861.00000,3.00000,1.00000,50.43232,38.80739,11.62493,1.44445,12380.04000,340.61569,53.55150,40.87892,12.67258,1.67000,12380.04000,254.82979,48.57296,37.57254,11.00042,1.31000,12380.04000,391.75327,134739.00000,4.00000,2.00000,32.01940,22.60325,9.41615,1.93072,19845.00000,317.51971,36.96116,26.90535,10.05581,2.15000,19845.00000,247.22293,29.07359,20.03874,9.03485,1.80000,19845.00000,359.42411
'110010001002',797,89826.00000,178599.84102,84697.52258,1.51000,1.78000,0.97437,1.30481,0.53701,16.17981,5.00000,4.20000,4.63065,1.72880,0.20301,334020.65883,45.08370,2.32724,11574.38097,89826.00000,4.00000,2.00000,43.43503,32.36516,11.06987,1.64797,15199.92000,538.60526,46.45364,35.04108,11.41256,1.75000,15199.92000,477.33043,40.83253,30.05811,10.77442,1.56000,15199.92000,591.43333,11720.00000,1.00000,1.00000,191.95449,158.56176,33.39273,0.49463,8278.20000,517.86058,211.41637,179.18089,32.23548,0.50000,8278.20000,412.67213,175.17544,140.78498,34.39046,0.49000,8278.20000,608.54876,44913.00000,1.00000,1.00000,51.21407,39.88432,11.32975,0.77463,8249.04000,497.99876,57.82960,46.75706,11.07253,0.78000,8249.04000,405.06527,45.51049,33.95899,11.55150,0.77000,8249.04000,578.12132,121265.00000,1.00000,1.00000,29.23018,23.84135,5.38884,0.97463,8201.52000,484.12364,30.97584,25.66940,5.30644,0.98000,8201.52000,399.36012,27.72517,22.26529,5.45988,0.97000,8201.52000,557.20246,71861.00000,2.00000,0.00000,47.00423,41.32998,5.67426,0.83797,0.00000,559.91067,51.75147,45.68820,6.06327,0.94000,0.00000,479.23215,42.91141,37.57254,5.33887,0.75000,0.00000,629.46762,44913.00000,3.00000,1.00000,62.21944,47.33085,14.88858,1.14260,9036.36000,560.50958,70.62373,55.09318,15.53055,1.25000,9036.36000,484.93729,54.97368,40.63857,14.33511,1.05000,9036.36000,625.66420,71861.00000,3.00000,1.00000,50.28395,40.08523,10.19872,1.24260,9336.60000,553.50163,53.63721,42.99968,10.63753,1.35000,9336.60000,483.03558,47.39294,37.57254,9.82040,1.15000,9336.60000,614.25391,134739.00000,4.00000,2.00000,32.29567,23.86114,8.43453,1.73334,15762.60000,532.61856,36.98286,28.29470,8.68816,1.83000,15762.60000,475.42872,28.25461,20.03874,8.21587,1.65000,15762.60000,581.92475
'110010001003',550,89826.00000,288710.60716,136915.42517,2.88000,1.91000,1.17896,1.57878,0.28909,11.45245,8.30000,4.60000,1.35823,2.25302,0.27069,297326.63020,31.09263,3.30906,10740.37780,89826.00000,4.00000,2.00000,47.74538,36.08880,11.65658,1.81062,15046.56000,484.83702,50.43684,38.54118,11.89566,1.88000,15046.56000,446.90300,41.12675,30.05811,11.06864,1.64000,15046.56000,578.12132,11720.00000,1.00000,1.00000,232.23265,195.77332,36.45933,0.61687,8640.00000,442.46681,266.71178,230.37543,36.33635,0.64000,8640.00000,380.34298,147.44436,110.68259,36.76177,0.56000,8640.00000,595.23676,44913.00000,1.00000,1.00000,66.12927,53.96790,12.16137,0.88976,8499.60000,430.16445,72.26457,60.11622,12.14835,0.91000,8499.60000,374.63783,51.04184,38.84844,12.19340,0.84000,8499.60000,566.71103,121265.00000,1.00000,1.00000,32.24075,26.50032,5.74044,1.08976,8277.12000,419.51139,33.97552,28.22249,5.75304,1.11000,8277.12000,368.93269,27.97475,22.26529,5.70946,1.04000,8277.12000,543.89046,71861.00000,2.00000,0.00000,52.99527,46.58293,6.41234,0.99773,0.00000,497.18434,56.95268,50.24700,6.70567,1.07000,0.00000,448.80471,43.26355,37.57254,5.69101,0.82000,0.00000,616.15562,44913.00000,3.00000,1.00000,76.59385,60.45812,16.13573,1.30773,9232.92000,500.14064,77.18182,60.59715,16.58466,1.38000,9232.92000,454.50986,75.14797,60.11622,15.03174,1.13000,9232.92000,612.35219,71861.00000,3.00000,1.00000,55.46221,44.46982,10.99239,1.40484,9461.88000,496.03985,58.58601,47.27460,11.31141,1.48000,9461.88000,452.60814,47.78041,37.57254,10.20788,1.22000,9461.88000,602.84362,134739.00000,4.00000,2.00000,35.22828,26.37017,8.85811,1.89062,15521.76000,480.73623,37.99075,28.94485,9.04590,1.96000,15521.76000,445.00128,28.43504,20.03874,8.39630,1.72000,15521.76000,568.61275
'110010001004',450,89826.00000,221674.95308,105125.06191,1.96000,2.53000,0.93643,1.25399,0.43111,2.75247,6.20000,5.90000,15.57971,2.01982,0.24466,313981.61389,32.33348,3.50998,10677.37600,89826.00000,4.00000,2.00000,46.23943,33.85805,12.38138,1.95396,17195.76000,282.51031,49.29541,36.73769,12.55771,2.01000,17195.76000,241.51779,42.20681,30.05811,12.14870,1.88000,17195.76000,336.60353,11720.00000,1.00000,1.00000,261.03693,220.87600,40.16094,0.78724,9454.32000,252.02371,320.28821,281.56997,38.71824,0.77000,9454.32000,174.95777,182.84968,140.78498,42.06470,0.81000,9454.32000,353.71897,44913.00000,1.00000,1.00000,71.41850,57.94836,13.47014,1.06156,9789.12000,236.48036,86.54931,73.47539,13.07392,1.04000,9789.12000,169.25262,51.45207,37.45909,13.99298,1.09000,9789.12000,325.19324,121265.00000,1.00000,1.00000,31.52599,25.08006,6.44593,1.26156,10321.56000,224.21641,33.50797,27.21313,6.29484,1.24000,10321.56000,163.54748,28.91059,22.26529,6.64530,1.29000,10321.56000,304.27438,71861.00000,2.00000,0.00000,49.15934,42.32245,6.83689,1.14964,0.00000,300.80903,52.96939,45.92199,7.04740,1.21000,0.00000,243.41950,44.13164,37.57254,6.55911,1.07000,0.00000,376.53955,44913.00000,3.00000,1.00000,78.46472,61.13900,17.32571,1.45533,10763.28000,301.59508,91.16501,73.47539,17.68962,1.52000,10763.28000,249.12465,61.70556,44.86006,16.84550,1.37000,10763.28000,370.83440,71861.00000,3.00000,1.00000,54.15586,42.32245,11.83342,1.54964,11298.96000,296.41396,57.98254,45.92199,12.06055,1.61000,11298.96000,247.22293,49.10622,37.57254,11.53369,1.47000,11298.96000,361.32583,134739.00000,4.00000,2.00000,33.49270,24.00081,9.49189,2.04396,18045.72000,278.14904,36.63645,27.00332,9.63313,2.10000,18045.72000,239.61607,29.34426,20.03874,9.30552,1.97000,18045.72000,328.99667
'110010002011',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'110010002021',510,89826.00000,200138.44332,69638.31355,2.06000,3.80000,1.20676,1.88865,0.24314,10.91467,6.80000,6.60000,5.49645,2.73729,0.25682,211331.60660,31.24990,1.29122,9104.37517,89826.00000,4.00000,2.00000,46.90089,34.89119,12.00969,1.84784,16354.44000,441.03378,48.46940,36.44379,12.02561,1.86000,16354.44000,418.37727,42.01826,30.05811,11.96015,1.81000,16354.44000,511.56130,11720.00000,1.00000,1.00000,246.90197,208.59265,38.30932,0.64918,9613.08000,394.81838,267.33054,230.37543,36.95511,0.62000,9613.08000,351.81725,183.30981,140.78498,42.52483,0.74000,9613.08000,528.67674,44913.00000,1.00000,1.00000,68.12041,55.49092,12.62950,0.91918,9447.84000,382.12537,72.38167,60.11622,12.26545,0.89000,9447.84000,344.21039,54.85553,41.09278,13.76275,1.01000,9447.84000,500.15101,121265.00000,1.00000,1.00000,31.55363,25.62066,5.93297,1.11918,9185.40000,373.69816,32.48570,26.69855,5.78715,1.09000,9185.40000,340.40696,28.65218,22.26529,6.38689,1.21000,9185.40000,477.33043,71861.00000,2.00000,0.00000,51.63974,45.10525,6.53449,1.03784,0.00000,450.28134,54.06072,47.52508,6.53563,1.05000,0.00000,418.37727,44.10349,37.57254,6.53095,1.00000,0.00000,549.59560,44913.00000,3.00000,1.00000,74.17550,57.46577,16.70973,1.34541,10250.28000,455.11393,76.85194,60.11622,16.73571,1.36000,10250.28000,425.98413,65.84401,49.21515,16.62886,1.30000,10250.28000,545.79217,71861.00000,3.00000,1.00000,54.34213,42.98193,11.36019,1.44298,10464.12000,451.36270,56.11672,44.71967,11.39705,1.46000,10464.12000,424.08242,48.81800,37.57254,11.24547,1.39000,10464.12000,536.28360,134739.00000,4.00000,2.00000,35.89197,26.77944,9.11252,1.92784,16810.20000,437.28256,38.07454,28.94485,9.12970,1.94000,16810.20000,416.47556,29.09782,20.03874,9.05907,1.89000,16810.20000,502.05273
'110010002022',353,89826.00000,214306.53432,74568.11088,2.52000,2.31000,1.01167,1.58333,0.29178,10.53854,7.50000,6.10000,12.02186,2.43033,0.26869,243675.59935,40.33848,3.26132,9698.37438,89826.00000,4.00000,2.00000,46.99497,34.98738,12.00759,1.86790,15843.60000,449.45119,49.11448,37.01824,12.09625,1.90000,15843.60000,418.37727,41.85052,30.05811,11.79240,1.79000,15843.60000,524.87331,11720.00000,1.00000,1.00000,217.65059,179.18089,38.46970,0.67751,9111.96000,407.30638,216.46884,179.18089,37.28795,0.66000,9111.96000,351.81725,220.51891,179.18089,41.33803,0.72000,9111.96000,541.98874,44913.00000,1.00000,1.00000,59.50444,46.75706,12.74737,0.95042,8995.32000,394.94254,59.17726,46.75706,12.42020,0.93000,8995.32000,346.11211,60.29856,46.75706,13.54149,1.00000,8995.32000,513.46302,121265.00000,1.00000,1.00000,31.69999,25.69934,6.00065,1.15042,8809.56000,384.24338,32.98806,27.11417,5.87389,1.13000,8809.56000,340.40696,28.57359,22.26529,6.30831,1.20000,8809.56000,490.64244,71861.00000,2.00000,0.00000,51.85560,45.15327,6.70233,1.06499,0.00000,460.54901,55.08298,48.27653,6.80645,1.10000,0.00000,418.37727,44.02216,37.57254,6.44962,0.98000,0.00000,562.90760,44913.00000,3.00000,1.00000,72.30713,55.48283,16.82430,1.37207,9909.00000,464.82652,75.23082,58.21922,17.01159,1.41000,9909.00000,425.98413,65.21080,48.84109,16.36971,1.28000,9909.00000,559.10417,71861.00000,3.00000,1.00000,54.58922,43.13095,11.45827,1.47207,10152.00000,460.70524,57.01046,45.42102,11.58944,1.51000,10152.00000,424.08242,48.71242,37.57254,11.13988,1.38000,10152.00000,549.59560,134739.00000,4.00000,2.00000,35.50007,26.34618,9.15388,1.95790,16337.16000,445.88480,38.17168,28.94485,9.22683,1.99000,16337.16000,416.47556,29.01558,20.03874,8.97683,1.88000,16337.16000,517.26645
'110010002023',443,89826.00000,105445.33637,36689.77971,2.10000,2.13000,0.87851,1.37493,0.47856,11.60497,6.10000,4.70000,8.59539,2.13471,0.36675,256190.58764,56.57614,4.05701,9854.37309,89826.00000,4.00000,2.00000,43.83330,32.48927,11.34404,1.74907,15042.24000,457.10271,46.38022,34.72046,11.65976,1.84000,15042.24000,408.86870,41.05813,30.05811,11.00002,1.65000,15042.24000,509.65959,11720.00000,1.00000,1.00000,240.98313,205.87601,35.10712,0.59043,8347.32000,430.58603,264.65358,230.37543,34.27816,0.60000,8347.32000,342.30868,215.19126,179.18089,36.01038,0.58000,8347.32000,526.77502,44913.00000,1.00000,1.00000,65.53144,53.72313,11.80831,0.86043,8354.88000,413.95997,71.75257,60.11622,11.63635,0.87000,8354.88000,336.60353,58.75275,46.75706,11.99569,0.85000,8354.88000,498.24930,121265.00000,1.00000,1.00000,29.54236,23.91650,5.62585,1.06043,8367.84000,400.97422,31.00825,25.43191,5.57634,1.07000,8367.84000,330.89839,27.94509,22.26529,5.67981,1.05000,8367.84000,477.33043,71861.00000,2.00000,0.00000,47.63902,41.58672,6.05230,0.93907,0.00000,476.29587,51.68261,45.27073,6.41188,1.03000,0.00000,410.77041,43.23302,37.57254,5.66049,0.84000,0.00000,547.69389,44913.00000,3.00000,1.00000,65.72780,50.15578,15.57202,1.24950,9210.24000,477.45063,76.32054,60.11622,16.20431,1.35000,9210.24000,416.47556,54.18572,39.30265,14.88307,1.14000,9210.24000,543.89046,71861.00000,3.00000,1.00000,50.81876,40.18480,10.63396,1.34429,9535.32000,471.90862,53.61828,42.58221,11.03607,1.44000,9535.32000,414.57384,47.76834,37.57254,10.19580,1.24000,9535.32000,534.38188,134739.00000,4.00000,2.00000,32.84680,24.20445,8.64235,1.82907,15634.08000,452.47077,36.91742,28.02752,8.88990,1.92000,15634.08000,406.96698,28.41137,20.03874,8.37263,1.73000,15634.08000,502.05273
'110010002024',528,89826.00000,176852.16391,61535.83609,1.34000,1.95000,0.46358,0.72552,0.50000,6.59140,3.60000,4.70000,3.98724,2.94932,0.33706,253627.57797,58.64841,4.23378,9760.37202,89826.00000,4.00000,2.00000,42.37320,31.01329,11.35991,1.76000,15666.48000,360.37497,43.48486,31.96847,11.51639,1.81000,15666.48000,323.29153,41.26154,30.05811,11.20343,1.71000,15666.48000,397.45841,11720.00000,1.00000,1.00000,239.74272,204.77816,34.96456,0.60500,8745.84000,335.65268,263.37554,230.37543,33.00011,0.57000,8745.84000,256.73151,216.10990,179.18089,36.92901,0.64000,8745.84000,414.57384,44913.00000,1.00000,1.00000,65.28048,53.43664,11.84384,0.87500,8914.32000,318.53724,71.45187,60.11622,11.33564,0.84000,8914.32000,251.02636,59.10909,46.75706,12.35203,0.91000,8914.32000,386.04812,121265.00000,1.00000,1.00000,28.54619,22.83924,5.70696,1.08000,9182.16000,304.27438,28.90423,23.41319,5.49105,1.04000,9182.16000,245.32122,28.18816,22.26529,5.92287,1.12000,9182.16000,363.22754,71861.00000,2.00000,0.00000,45.56852,39.62650,5.94202,0.95500,0.00000,379.39212,47.80660,41.68047,6.12613,1.01000,0.00000,323.29153,43.33044,37.57254,5.75790,0.90000,0.00000,435.49271,44913.00000,3.00000,1.00000,65.67719,50.13693,15.54026,1.26000,9691.92000,381.29383,75.98858,60.11622,15.87236,1.32000,9691.92000,330.89839,55.36580,40.15764,15.20817,1.20000,9691.92000,431.68928,71861.00000,3.00000,1.00000,49.04255,38.39913,10.64342,1.35500,10119.60000,375.58869,50.07255,39.22573,10.84682,1.41000,10119.60000,328.99667,48.01256,37.57254,10.44002,1.30000,10119.60000,422.18070,134739.00000,4.00000,2.00000,31.60254,22.92432,8.67822,1.84000,16385.76000,355.62068,34.61428,25.80990,8.80438,1.89000,16385.76000,321.38981,28.59080,20.03874,8.55206,1.79000,16385.76000,389.85155
'110010003001',509,89826.00000,189778.45951,71669.82424,2.34000,2.44000,1.18926,1.38311,0.36149,8.23605,6.10000,6.50000,10.14706,2.90257,0.21035,180609.61801,11.53907,0.71757,8552.37642,89826.00000,4.00000,2.00000,45.09486,32.71945,12.37542,1.89385,17579.16000,391.85041,46.69018,34.22617,12.46401,1.93000,17579.16000,349.91554,42.27704,30.05811,12.21893,1.83000,17579.16000,465.92015,11720.00000,1.00000,1.00000,252.48255,211.86895,40.61359,0.71530,10206.00000,355.53849,269.38067,230.37543,39.00525,0.69000,10206.00000,283.35552,222.63531,179.18089,43.45443,0.76000,10206.00000,483.03558,44913.00000,1.00000,1.00000,68.66219,55.28698,13.37521,0.98892,10207.08000,340.36960,73.04285,60.11622,12.92662,0.96000,10207.08000,275.74866,60.92462,46.75706,14.16755,1.04000,10207.08000,454.50986,121265.00000,1.00000,1.00000,30.34381,24.05341,6.29040,1.18892,10209.24000,328.47735,31.18106,25.06577,6.11529,1.16000,10209.24000,270.04351,28.86497,22.26529,6.59969,1.24000,10209.24000,431.68928,71861.00000,2.00000,0.00000,48.79970,42.07205,6.72765,1.09024,0.00000,405.59954,51.44956,44.61947,6.83009,1.13000,0.00000,349.91554,44.11924,37.57254,6.54671,1.02000,0.00000,503.95444,44913.00000,3.00000,1.00000,72.88723,55.56708,17.32015,1.39662,11088.36000,409.08166,77.62740,60.11622,17.51117,1.44000,11088.36000,357.52240,64.51464,47.53189,16.98275,1.32000,11088.36000,500.15101,71861.00000,3.00000,1.00000,52.14333,40.38740,11.75593,1.49024,11409.12000,403.21586,53.85196,41.98105,11.87092,1.53000,11409.12000,353.71897,49.12536,37.57254,11.55283,1.42000,11409.12000,490.64244,134739.00000,4.00000,2.00000,34.29215,24.88373,9.40842,1.97747,18166.68000,385.98461,37.09822,27.62675,9.47147,2.01000,18166.68000,346.11211,29.33578,20.03874,9.29704,1.92000,18166.68000,456.41157
